Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,PF,21,MIA,37,2,13.5,2.3,4.0,.585,0.0,0.0,,2.3,4.0,.585,.585,1.2,2.2,.530,1.3,2.6,3.9,0.5,0.4,0.5,0.9,1.6,5.8
2,Jaylen Adams\adamsja01,PG,24,MIL,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,0.1,0.9,.167,.125,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
3,Steven Adams\adamsst01,C,27,NOP,35,35,27.6,3.6,5.8,.624,0.0,0.1,.000,3.6,5.7,.630,.624,1.0,2.3,.444,4.1,5.1,9.2,2.0,0.9,0.6,1.5,1.9,8.2
4,Bam Adebayo\adebaba01,C,23,MIA,33,33,33.9,7.2,12.7,.563,0.1,0.2,.333,7.1,12.5,.567,.566,4.8,5.7,.847,2.2,7.3,9.5,5.4,0.9,1.0,3.0,2.4,19.2
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,18,25.9,5.5,11.8,.464,1.3,3.6,.360,4.2,8.2,.509,.518,1.5,1.8,.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,3,0,2.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,30,3,18.1,3.2,7.8,.410,1.1,3.5,.302,2.1,4.3,.500,.479,1.0,1.3,.816,0.2,2.4,2.6,2.0,0.9,0.3,1.2,1.7,8.5
8,Grayson Allen\allengr01,SG,25,MEM,23,12,24.0,2.9,7.1,.409,2.0,4.9,.407,0.9,2.2,.412,.549,1.5,1.7,.895,0.3,2.5,2.8,2.2,1.0,0.1,0.9,1.3,9.3
9,Jarrett Allen\allenja01,C,22,TOT,36,18,28.1,4.8,7.3,.662,0.1,0.2,.500,4.7,7.1,.667,.669,3.4,4.7,.738,3.1,6.7,9.8,1.7,0.5,1.7,1.5,1.6,13.2
10,Al-Farouq Aminu\aminual01,PF,30,ORL,11,8,18.9,1.6,4.8,.340,0.5,1.8,.300,1.1,3.0,.364,.396,0.8,1.0,.818,1.0,3.4,4.4,1.5,1.0,0.5,1.1,1.0,4.6
11,Kyle Anderson\anderky01,PF,27,MEM,32,32,27.2,4.8,10.1,.472,1.5,3.9,.373,3.3,6.1,.536,.545,2.1,2.7,.767,0.9,5.2,6.0,3.4,1.1,0.7,1.4,1.8,13.0
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,37,37,33.9,10.5,18.7,.561,1.1,3.8,.296,9.4,14.9,.629,.591,6.9,10.2,.672,1.9,9.7,11.6,6.1,1.2,1.4,3.6,3.0,29.0
13,Kostas Antetokounmpo\antetko01,PF,23,LAL,3,0,6.3,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.3,0.7,.500,0.7,2.0,2.7,0.0,0.3,0.7,1.7,1.0,1.0
14,Thanasis Antetokounmpo\antetth01,SF,28,MIL,28,0,8.6,1.0,1.7,.596,0.1,0.3,.222,0.9,1.4,.684,.617,0.2,0.5,.462,1.0,1.1,2.0,0.6,0.3,0.2,0.7,1.2,2.3
15,Carmelo Anthony\anthoca01,PF,36,POR,36,3,25.7,4.9,11.9,.416,1.8,4.6,.388,3.2,7.3,.433,.491,2.5,2.9,.856,0.6,2.7,3.3,1.6,0.9,0.8,1.1,2.2,14.1
16,Cole Anthony\anthoco01,PG,20,ORL,25,17,26.7,4.0,10.8,.375,1.1,3.3,.325,3.0,7.4,.398,.426,1.8,2.2,.836,0.8,3.6,4.4,3.8,0.7,0.4,2.0,2.0,11.0
17,OG Anunoby\anunoog01,SF,23,TOR,23,23,33.4,5.0,10.3,.479,2.1,5.4,.395,2.8,5.0,.570,.582,1.7,2.3,.755,1.4,4.3,5.7,1.7,1.6,0.7,1.7,2.8,13.8
18,Ryan Arcidiacono\arcidry01,PG,26,CHI,19,0,10.8,1.1,2.7,.404,0.6,1.7,.333,0.5,1.0,.526,.510,0.4,0.5,.889,0.1,1.7,1.8,1.2,0.3,0.0,0.3,0.8,3.2
19,D.J. Augustin\augusdj01,PG,33,MIL,36,6,19.4,1.9,5.2,.367,1.3,3.5,.381,0.6,1.7,.339,.495,1.0,1.1,.900,0.3,1.1,1.4,3.0,0.6,0.0,0.9,0.8,6.2
20,Deni Avdija\avdijde01,SF,20,WAS,33,17,22.2,2.4,5.5,.436,1.1,3.1,.347,1.3,2.4,.550,.533,0.3,0.6,.579,0.4,4.3,4.7,1.3,0.7,0.2,0.8,2.6,6.2
21,Deandre Ayton\aytonde01,C,22,PHO,37,37,30.8,6.2,10.4,.597,0.1,0.5,.235,6.1,9.9,.614,.603,1.8,2.5,.720,3.4,7.9,11.2,1.6,0.4,1.1,1.7,3.1,14.4
22,Udoka Azubuike\azubuud01,C,21,UTA,12,0,4.1,0.3,0.6,.571,0.0,0.0,,0.3,0.6,.571,.571,0.3,0.5,.667,0.3,0.8,1.1,0.0,0.1,0.3,0.3,0.7,1.0
23,Dwayne Bacon\bacondw01,SG,25,ORL,38,25,25.0,3.9,9.5,.408,1.1,3.0,.348,2.8,6.4,.437,.464,1.7,2.0,.844,0.3,2.5,2.8,1.1,0.6,0.1,0.7,1.6,10.5
24,Marvin Bagley III\baglema01,PF,21,SAC,36,36,26.0,5.6,11.3,.499,0.9,2.6,.362,4.7,8.7,.540,.541,1.7,3.0,.560,2.5,5.1,7.6,1.0,0.5,0.5,1.4,2.5,13.9
25,LaMelo Ball\ballla01,PG,19,CHO,37,17,28.9,5.7,12.7,.449,2.1,5.4,.387,3.6,7.3,.494,.531,2.3,2.8,.808,1.5,4.6,6.1,6.4,1.6,0.4,2.9,2.7,15.8
26,Lonzo Ball\balllo01,PG,23,NOP,35,35,31.5,5.1,12.2,.418,2.9,7.7,.381,2.2,4.5,.481,.539,0.9,1.2,.762,0.6,3.5,4.1,5.2,1.3,0.6,2.0,2.0,14.1
